Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
UGC08286_rotmod,750.008931595548,756.008931595548,758.5085716277166,29632433094.93952,19.837383421080226,4963.059399922303,758.0455405637687,766.0455405637687,769.3783939399935,11806.581921424553,11812.581921424553,11815.081561456722,Quaternionic
F571-V1_rotmod,41.558692227686336,47.558692227686336,47.396422674852275,30126342769.219715,18.487042806341435,5062.484050417834,36.18529990019634,44.18529990019634,43.968940496417595,1719.3174548484144,1725.3174548484144,1725.1551852955804,LCDM
NGC3198_rotmod,7061.471281787569,7067.471281787569,7072.75488213465,99985140721.86833,16.106264506658285,4932.039868718976,2417.94789730263,2425.94789730263,2432.992697765404,118119.45660290943,118125.45660290943,118130.74020325652,LCDM
UGC11455_rotmod,48752.370050968864,48758.370050968864,48763.120607784236,259613258549.0719,3.049384547255775,0.051863459497108785,289787.9332846752,289795.9332846752,289802.267360429,192776.96481209484,192782.96481209484,192787.7153689102,Quaternionic
UGC05721_rotmod,311.24062106428124,317.24062106428124,320.6471037120687,23905841402.557602,19.380442968975817,4947.249450208968,508.32484107112793,516.3248410711279,520.8668179348446,1616.7339796832607,1622.7339796832607,1626.1404623310482,Quaternionic
UGC06786_rotmod,22645.407319038823,22651.407319038823,22656.827306508134,99996087943.37935,5.2585194090456495,5163.278117714464,1128.9524082578134,1136.9524082578134,1144.1790582168946,12894.42886096775,12900.42886096775,12905.848848437061,LCDM
UGC06818_rotmod,114.08989639710848,120.08989639710848,120.32822102214799,11519383812.03423,18.43400232492298,5099.6584755212425,119.25406428084936,127.25406428084936,127.5718304475687,1352.7271136900354,1358.7271136900354,1358.9654383150748,Quaternionic
UGC07559_rotmod,44.897385179061374,50.897385179061374,50.73511562622731,2184815374.5976377,16.482028029494142,5100.858775419658,126.74273378772652,134.74273378772654,134.52637438394777,1681.2629011130803,1687.2629011130803,1687.1006315602463,Quaternionic
NGC7331_rotmod,8409.963433709821,8415.963433709821,8420.71399052519,233931588017.2094,3.056765125863052,0.05154106381182087,179636.6898766205,179644.6898766205,179651.02395237435,79450.57571690109,79456.57571690109,79461.32627371646,Quaternionic
UGC11914_rotmod,8807.536073964886,8813.536073964886,8820.059235774574,99991984112.36874,3.4773584879132913,4904.017927093632,578.7180357147851,586.7180357147851,595.4155847943676,4468.21910762836,4474.21910762836,4480.742269438047,LCDM
